number,last_number,last_he
727,077,14.0
077,891,18.0
891,068,14.0
068,647,17.0
647,550,10.0
550,369,18.0
369,391,13.0
391,087,15.0
087,585,18.0
585,827,17.0
827,746,17.0
746,471,12.0
471,007,7.0
007,706,13.0
706,142,7.0
142,820,10.0
820,240,6.0
240,024,6.0
024,894,21.0
894,844,16.0
844,106,7.0
106,669,21.0
669,755,17.0
755,974,20.0
974,882,18.0
882,863,17.0
863,704,11.0
704,822,12.0
822,428,14.0
428,486,18.0
486,093,12.0
093,433,10.0
433,258,15.0
258,708,15.0
708,112,4.0
112,575,17.0
575,547,16.0
547,334,10.0
334,396,18.0
396,136,10.0
136,341,8.0
341,671,14.0
671,472,13.0
472,281,11.0
281,867,21.0
867,639,18.0
639,121,4.0
121,053,8.0
053,356,14.0
356,830,11.0
830,097,16.0
097,758,20.0
758,421,7.0
421,638,17.0
638,988,25.0
988,973,19.0
973,285,15.0
285,853,16.0
853,679,22.0
679,385,16.0
385,114,6.0
114,651,12.0
651,027,9.0
027,418,13.0
418,241,7.0
241,496,19.0
496,377,17.0
377,202,4.0
202,234,9.0
234,960,15.0
960,993,21.0
993,126,9.0
126,100,1.0
100,482,14.0
482,942,15.0
942,602,8.0
602,567,18.0
567,832,13.0
832,784,19.0
784,471,12.0
471,243,9.0
243,941,14.0
941,933,15.0
933,708,15.0
708,641,11.0
641,733,13.0
733,625,13.0
625,465,15.0
465,612,9.0
612,903,12.0
903,163,10.0
163,011,2.0
011,549,18.0
549,845,17.0
845,227,11.0
227,644,14.0
644,660,12.0
660,205,7.0
205,137,11.0
137,933,15.0
933,304,7.0
304,687,21.0
687,909,18.0
909,769,22.0
769,710,8.0
710,942,15.0
942,965,20.0
965,215,8.0
215,641,11.0
641,808,16.0
808,910,10.0
910,769,22.0
769,804,12.0
804,810,9.0
810,688,22.0
688,593,17.0
593,915,15.0
915,320,5.0
320,200,2.0
200,112,4.0
112,993,21.0
993,886,22.0
886,916,16.0
916,704,11.0
704,788,23.0
788,612,9.0
612,391,13.0
391,981,18.0
981,086,14.0
086,535,13.0
535,109,10.0
109,869,23.0
869,086,14.0
086,899,26.0
899,805,13.0
805,481,13.0
481,950,14.0
950,020,2.0
020,994,22.0
994,746,17.0
746,569,20.0
569,884,20.0
884,276,15.0
276,649,19.0
649,053,8.0
053,455,14.0
455,360,9.0
360,868,22.0
868,885,21.0
885,915,15.0
915,749,20.0
749,185,14.0
185,015,6.0
015,384,15.0
384,870,15.0
870,109,10.0
109,125,8.0
125,297,18.0
297,721,10.0
721,008,8.0
008,036,9.0
036,737,17.0
737,524,11.0
524,503,8.0
503,220,4.0
220,450,9.0
450,818,17.0
818,155,11.0
155,856,19.0
856,964,19.0
964,198,18.0
198,397,19.0
397,872,17.0
872,786,21.0
786,298,19.0
298,668,20.0
668,681,15.0
681,292,13.0
292,840,12.0
840,666,18.0
666,740,11.0
740,911,11.0
911,124,7.0
124,497,20.0
497,088,16.0
088,575,17.0
575,577,19.0
577,746,17.0
746,114,6.0
114,516,12.0
516,336,12.0
336,612,9.0
612,440,8.0
440,191,11.0
191,148,13.0
148,662,14.0
662,570,12.0
570,597,21.0
597,020,2.0
020,082,10.0
082,276,15.0
276,079,16.0
079,685,19.0
685,921,12.0
921,059,14.0
059,835,16.0
835,260,8.0
260,153,9.0
153,942,15.0
