date,issue,x,y,z
2021-07-03,2021174,6,7,6
2021-07-02,2021173,0,2,3
2021-07-01,2021172,2,7,6
2021-06-30,2021171,3,6,6
2021-06-29,2021170,1,8,4
2021-06-28,2021169,0,4,2
2021-06-27,2021168,6,4,5
2021-06-26,2021167,1,2,6
2021-06-25,2021166,8,7,3
2021-06-24,2021165,8,3,7
2021-06-23,2021164,1,2,5
2021-06-22,2021163,6,6,5
2021-06-21,2021162,8,8,7
2021-06-20,2021161,2,9,9
2021-06-19,2021160,8,9,5
2021-06-18,2021159,7,2,3
2021-06-17,2021158,3,0,7
2021-06-16,2021157,8,0,7
2021-06-15,2021156,4,3,3
2021-06-14,2021155,0,8,9
2021-06-13,2021154,0,4,3
2021-06-12,2021153,4,1,1
2021-06-11,2021152,7,1,2
2021-06-10,2021151,1,6,1
2021-06-09,2021150,8,6,2
2021-06-08,2021149,9,7,2
2021-06-07,2021148,9,4,5
2021-06-06,2021147,1,9,8
2021-06-05,2021146,8,5,8
2021-06-04,2021145,1,7,6
2021-06-03,2021144,2,5,8
2021-06-02,2021143,2,3,2
2021-06-01,2021142,9,6,7
2021-05-31,2021141,0,7,0
2021-05-30,2021140,3,9,5
2021-05-29,2021139,8,0,0
2021-05-28,2021138,9,5,4
2021-05-27,2021137,0,7,0
2021-05-26,2021136,8,8,8
2021-05-25,2021135,0,8,1
2021-05-24,2021134,4,5,6
2021-05-23,2021133,1,6,0
2021-05-22,2021132,6,8,8
2021-05-21,2021131,0,5,5
2021-05-20,2021130,1,9,8
2021-05-19,2021129,8,1,6
2021-05-18,2021128,1,7,3
2021-05-17,2021127,6,0,6
2021-05-16,2021126,6,4,1
2021-05-15,2021125,9,4,2
2021-05-14,2021124,4,0,7
2021-05-13,2021123,7,4,8
2021-05-12,2021122,4,0,1
2021-05-11,2021121,8,0,1
2021-05-10,2021120,4,5,0
2021-05-09,2021119,8,5,9
2021-05-08,2021118,5,5,0
2021-05-07,2021117,0,7,9
2021-05-06,2021116,1,6,1
2021-05-05,2021115,2,3,1
2021-05-04,2021114,5,7,7
2021-05-03,2021113,0,1,2
2021-05-02,2021112,3,4,9
2021-05-01,2021111,2,7,1
2021-04-30,2021110,3,1,2
2021-04-29,2021109,1,8,3
2021-04-28,2021108,0,5,3
2021-04-27,2021107,7,8,2
2021-04-26,2021106,8,7,2
2021-04-25,2021105,5,8,9
2021-04-24,2021104,3,8,5
2021-04-23,2021103,5,1,2
2021-04-22,2021102,0,1,9
2021-04-21,2021101,1,4,5
2021-04-20,2021100,8,7,7
2021-04-19,2021099,0,9,8
2021-04-18,2021098,0,1,4
2021-04-17,2021097,1,6,8
2021-04-16,2021096,2,4,4
2021-04-15,2021095,9,8,9
2021-04-14,2021094,6,9,9
2021-04-13,2021093,3,3,3
2021-04-12,2021092,7,0,5
2021-04-11,2021091,0,4,5
2021-04-10,2021090,1,3,7
2021-04-09,2021089,3,8,3
2021-04-08,2021088,1,4,4
2021-04-07,2021087,9,0,2
2021-04-06,2021086,4,3,2
2021-04-05,2021085,2,3,5
2021-04-04,2021084,7,6,6
2021-04-03,2021083,1,3,1
2021-04-02,2021082,0,6,7
2021-04-01,2021081,3,4,0
2021-03-31,2021080,1,2,8
2021-03-30,2021079,1,6,7
2021-03-29,2021078,0,7,9
2021-03-28,2021077,8,5,3
2021-03-27,2021076,9,5,4
2021-03-26,2021075,7,5,7
2021-03-25,2021074,2,3,7
2021-03-24,2021073,6,7,8
2021-03-23,2021072,4,0,0
2021-03-22,2021071,9,1,4
2021-03-21,2021070,3,7,6
2021-03-20,2021069,7,7,2
2021-03-19,2021068,6,5,8
2021-03-18,2021067,6,0,8
2021-03-17,2021066,7,6,1
2021-03-16,2021065,8,0,5
2021-03-15,2021064,4,9,1
2021-03-14,2021063,8,1,1
2021-03-13,2021062,1,3,0
2021-03-12,2021061,3,0,5
2021-03-11,2021060,8,5,7
2021-03-10,2021059,5,8,1
2021-03-09,2021058,7,8,4
2021-03-08,2021057,5,6,5
2021-03-07,2021056,9,8,5
2021-03-06,2021055,2,4,5
2021-03-05,2021054,4,3,7
2021-03-04,2021053,8,6,9
2021-03-03,2021052,3,2,9
2021-03-02,2021051,9,6,0
2021-03-01,2021050,1,9,3
2021-02-28,2021049,7,4,7
2021-02-27,2021048,4,0,0
2021-02-26,2021047,6,8,3
2021-02-25,2021046,7,9,1
2021-02-24,2021045,4,5,4
2021-02-23,2021044,3,2,3
2021-02-22,2021043,9,3,6
2021-02-21,2021042,0,6,1
2021-02-20,2021041,3,6,1
2021-02-19,2021040,7,2,9
2021-02-08,2021039,7,4,6
2021-02-07,2021038,6,8,5
2021-02-06,2021037,0,7,0
2021-02-05,2021036,0,1,1
2021-02-04,2021035,0,2,1
2021-02-03,2021034,7,9,6
2021-02-02,2021033,8,5,2
2021-02-01,2021032,0,7,2
2021-01-31,2021031,0,1,9
2021-01-30,2021030,6,9,4
2021-01-29,2021029,1,5,0
2021-01-28,2021028,3,8,1
2021-01-27,2021027,4,7,2
2021-01-26,2021026,2,6,4
2021-01-25,2021025,2,8,0
2021-01-24,2021024,0,3,0
2021-01-23,2021023,1,3,1
2021-01-22,2021022,9,4,9
2021-01-21,2021021,4,0,1
2021-01-20,2021020,7,9,9
2021-01-19,2021019,8,1,5
2021-01-18,2021018,1,2,5
2021-01-17,2021017,7,8,0
2021-01-16,2021016,6,1,5
2021-01-15,2021015,6,9,7
2021-01-14,2021014,2,4,8
2021-01-13,2021013,2,4,4
2021-01-12,2021012,9,0,6
2021-01-11,2021011,0,2,6
2021-01-10,2021010,2,3,3
2021-01-09,2021009,6,2,6
2021-01-08,2021008,3,8,2
2021-01-07,2021007,2,9,0
2021-01-06,2021006,7,3,3
2021-01-05,2021005,8,3,9
2021-01-04,2021004,9,8,1
2021-01-03,2021003,1,1,3
2021-01-02,2021002,6,6,7
2021-01-01,2021001,1,7,7
2020-12-31,2020313,5,3,8
2020-12-30,2020312,3,4,4
2020-12-29,2020311,5,7,4
2020-12-28,2020310,6,1,1
2020-12-27,2020309,5,3,6
2020-12-26,2020308,1,1,5
2020-12-25,2020307,7,8,9
2020-12-24,2020306,1,0,8
2020-12-23,2020305,5,0,6
2020-12-22,2020304,6,5,8
2020-12-21,2020303,4,6,3
2020-12-20,2020302,3,9,7
2020-12-19,2020301,4,7,1
2020-12-18,2020300,2,9,9
2020-12-17,2020299,9,6,4
2020-12-16,2020298,6,2,4
2020-12-15,2020297,0,4,2
2020-12-14,2020296,8,9,8
2020-12-13,2020295,7,0,2
2020-12-12,2020294,4,6,0
2020-12-11,2020293,5,6,6
2020-12-10,2020292,9,4,1
2020-12-09,2020291,7,5,3
2020-12-08,2020290,4,1,8
2020-12-07,2020289,0,8,6
2020-12-06,2020288,9,5,6
2020-12-05,2020287,4,6,2
2020-12-04,2020286,6,2,8
2020-12-03,2020285,8,7,5
2020-12-02,2020284,5,0,2
2020-12-01,2020283,9,8,4
2020-11-30,2020282,5,1,1
2020-11-29,2020281,1,1,4
2020-11-28,2020280,2,0,0
2020-11-27,2020279,2,3,3
2020-11-26,2020278,0,2,1
2020-11-25,2020277,1,0,2
2020-11-24,2020276,7,2,7
2020-11-23,2020275,0,7,7
2020-11-22,2020274,8,9,1
2020-11-21,2020273,0,6,8
2020-11-20,2020272,6,4,7
2020-11-19,2020271,5,5,0
2020-11-18,2020270,3,6,9
2020-11-17,2020269,3,9,1
2020-11-16,2020268,0,8,7
2020-11-15,2020267,5,8,5
2020-11-14,2020266,8,2,7
